,datetime,station,lat,lon,pm2_5
318,2024-01-02 21:00:00,11T,13.7898,100.4486,150.21
319,2024-01-02 21:00:00,12T,13.8225,100.5147,47.37
320,2024-01-02 21:00:00,15T,13.7083,100.3728,150.21
321,2024-01-02 21:00:00,61T,13.6796,100.6067,29.04
322,2024-01-02 22:00:00,3T,13.7563,100.5018,41.78
323,2024-01-02 22:00:00,5T,13.7367,100.5231,41.78
324,2024-01-02 22:00:00,10T,13.7291,100.775,16.11
325,2024-01-02 22:00:00,11T,13.7898,100.4486,114.48
326,2024-01-02 22:00:00,12T,13.8225,100.5147,41.78
327,2024-01-02 22:00:00,15T,13.7083,100.3728,114.48
328,2024-01-02 22:00:00,61T,13.6796,100.6067,23.75
329,2024-01-02 23:00:00,3T,13.7563,100.5018,50.72
330,2024-01-02 23:00:00,5T,13.7367,100.5231,50.72
331,2024-01-02 23:00:00,10T,13.7291,100.775,17.37
332,2024-01-02 23:00:00,11T,13.7898,100.4486,107.54
333,2024-01-02 23:00:00,12T,13.8225,100.5147,50.72
334,2024-01-02 23:00:00,15T,13.7083,100.3728,107.54
335,2024-01-02 23:00:00,61T,13.6796,100.6067,24.91
336,2024-01-03 00:00:00,3T,13.7563,100.5018,79.79
337,2024-01-03 00:00:00,5T,13.7367,100.5231,79.79
338,2024-01-03 00:00:00,10T,13.7291,100.775,21.68
339,2024-01-03 00:00:00,11T,13.7898,100.4486,126.42
340,2024-01-03 00:00:00,12T,13.8225,100.5147,79.79
341,2024-01-03 00:00:00,15T,13.7083,100.3728,126.42
342,2024-01-03 00:00:00,61T,13.6796,100.6067,34.68
343,2024-01-03 01:00:00,3T,13.7563,100.5018,105.7
344,2024-01-03 01:00:00,5T,13.7367,100.5231,105.7
345,2024-01-03 01:00:00,10T,13.7291,100.775,26.63
346,2024-01-03 01:00:00,11T,13.7898,100.4486,154.67
347,2024-01-03 01:00:00,12T,13.8225,100.5147,105.7
348,2024-01-03 01:00:00,15T,13.7083,100.3728,154.67
349,2024-01-03 01:00:00,61T,13.6796,100.6067,46.54
350,2024-01-03 02:00:00,3T,13.7563,100.5018,110.51
351,2024-01-03 02:00:00,5T,13.7367,100.5231,110.51
352,2024-01-03 02:00:00,10T,13.7291,100.775,31.61
353,2024-01-03 02:00:00,11T,13.7898,100.4486,173.9
354,2024-01-03 02:00:00,12T,13.8225,100.5147,110.51
355,2024-01-03 02:00:00,15T,13.7083,100.3728,173.9
356,2024-01-03 02:00:00,61T,13.6796,100.6067,57.26
